seq,sent_host_t,ack_host_t,ack_retry_slot,retry_count,denied,failed
29,1776571841.699,,-1,3,0,0
30,1776571851.915,,-1,3,0,0
31,1776571862.064,,-1,3,0,0
32,1776571871.846,,-1,3,0,0
33,1776571882.018,,-1,3,0,0
34,1776571891.802,,-1,3,0,0
35,1776571901.953,,-1,3,0,0
36,1776571911.734,1776571925.158,1,1,0,0
37,1776571921.893,,-1,3,0,0
38,1776571931.817,1776571951.254,3,3,0,0
39,1776571941.971,,-1,3,0,0
40,1776571951.989,1776571967.989,2,2,0,0
41,1776571961.781,1776571972.378,0,0,0,0
42,1776571972.063,1776571988.204,2,2,0,0
43,1776571981.997,1776571998.238,2,2,0,0
44,1776571991.905,,-1,3,0,0
45,1776572001.933,1776572012.029,0,0,0,0
46,1776572011.715,1776572028.369,2,2,0,0
47,1776572022.032,,-1,3,0,0
48,1776572032.066,1776572051.227,3,3,0,0
49,1776572041.961,,-1,3,0,0
50,1776572051.961,1776572065.112,1,1,0,0
51,1776572061.855,,-1,3,0,0
52,1776572071.771,1776572091.306,3,3,0,0
53,1776572081.915,,-1,3,0,0
54,1776572092.042,1776572108.164,2,2,0,0
55,1776572101.831,1776572112.173,0,0,0,0
56,1776572111.859,1776572131.082,3,3,0,0
