seq,sent_host_t,ack_host_t,ack_retry_slot,retry_count,denied,failed
200,1776892838.898,,-1,3,0,0
201,1776892842.061,,-1,3,0,0
202,1776892844.940,,-1,3,0,0
203,1776892848.180,,-1,3,0,0
204,1776892851.056,,-1,3,0,0
205,1776892853.931,,-1,3,0,0
206,1776892857.167,,-1,3,0,0
207,1776892859.920,,-1,3,0,0
208,1776892863.033,,-1,3,0,0
209,1776892865.910,,-1,3,0,0
210,1776892869.038,,-1,3,0,0
211,1776892871.917,,-1,3,0,0
212,1776892875.155,,-1,3,0,0
213,1776892878.029,,-1,3,0,0
214,1776892880.904,,-1,3,0,0
215,1776892884.142,,-1,3,0,0
216,1776892887.021,,-1,3,0,0
217,1776892890.138,,-1,3,0,0
218,1776892893.016,,-1,2,0,0
219,1776892896.257,,-1,3,0,0
220,1776892898.898,,-1,3,0,0
221,1776892902.145,,-1,3,0,0
222,1776892905.026,,-1,2,0,0
223,1776892908.263,,-1,3,0,0
224,1776892910.900,,-1,3,0,0
225,1776892914.141,,-1,3,0,0
226,1776892917.016,,-1,3,0,0
227,1776892919.899,,-1,3,0,0
228,1776892923.138,,-1,3,0,0
229,1776892926.013,1776892930.417,1,1,0,0
230,1776892929.253,,-1,2,0,0
231,1776892932.266,,-1,3,0,0
232,1776892934.906,,-1,3,0,0
233,1776892938.153,,-1,3,0,0
234,1776892941.032,,-1,3,0,0
235,1776892943.906,,-1,3,0,0
236,1776892947.145,,-1,3,0,0
237,1776892950.023,,-1,3,0,0
238,1776892953.148,,-1,3,0,0
239,1776892956.024,1776892960.428,1,1,0,0
240,1776892959.264,,-1,3,0,0
241,1776892961.907,,-1,3,0,0
242,1776892965.151,,-1,3,0,0
243,1776892968.033,,-1,3,0,0
244,1776892970.924,,-1,3,0,0
245,1776892974.176,,-1,3,0,0
246,1776892977.058,,-1,3,0,0
247,1776892979.929,,-1,3,0,0
248,1776892983.178,,-1,3,0,0
249,1776892986.061,,-1,3,0,0
250,1776892988.937,,-1,3,0,0
251,1776892992.179,,-1,3,0,0
252,1776892995.055,,-1,3,0,0
253,1776892997.927,,-1,3,0,0
254,1776893001.168,,-1,3,0,0
255,1776893003.926,,-1,3,0,0
0,1776893007.165,,-1,3,0,0
1,1776893010.047,,-1,3,0,0
2,1776893012.932,1776893017.482,1,1,0,0
3,1776893016.192,,-1,3,0,0
4,1776893018.959,,-1,3,0,0
5,1776893022.201,,-1,3,0,0
6,1776893025.079,,-1,3,0,0
7,1776893027.954,,-1,3,0,0
8,1776893031.205,,-1,3,0,0
9,1776893034.082,,-1,3,0,0
10,1776893036.957,,-1,3,0,0
11,1776893040.193,,-1,3,0,0
12,1776893043.073,,-1,3,0,0
13,1776893046.190,,-1,3,0,0
14,1776893049.068,,-1,3,0,0
15,1776893052.199,,-1,3,0,0
16,1776893055.078,,-1,3,0,0
17,1776893057.964,,-1,3,0,0
18,1776893061.098,,-1,3,0,0
19,1776893063.978,,-1,3,0,0
20,1776893067.230,,-1,3,0,0
21,1776893070.105,,-1,3,0,0
22,1776893072.979,,-1,3,0,0
23,1776893076.227,,-1,3,0,0
24,1776893079.110,,-1,3,0,0
25,1776893081.987,,-1,3,0,0
26,1776893085.223,,-1,3,0,0
27,1776893087.978,,-1,3,0,0
28,1776893091.219,,-1,3,0,0
29,1776893093.973,,-1,3,0,0
30,1776893097.209,,-1,3,0,0
31,1776893100.087,,-1,3,0,0
32,1776893102.977,,-1,3,0,0
33,1776893106.230,,-1,3,0,0
34,1776893109.112,,-1,3,0,0
35,1776893111.988,,-1,3,0,0
36,1776893115.225,,-1,3,0,0
37,1776893118.101,,-1,3,0,0
38,1776893120.977,,-1,3,0,0
39,1776893124.217,,-1,3,0,0
40,1776893127.097,,-1,3,0,0
41,1776893129.969,,-1,3,0,0
42,1776893133.100,,-1,1,0,0
