seq,sent_host_t,ack_host_t,ack_retry_slot,retry_count,denied,failed
57,1776572140.674,,-1,3,0,1
58,1776572150.996,,-1,3,0,0
59,1776572160.778,,-1,3,0,0
60,1776572170.925,,-1,3,0,0
61,1776572180.708,1776572187.040,2,2,0,0
62,1776572190.741,1776572200.023,3,3,0,0
63,1776572200.758,,-1,3,0,0
64,1776572210.914,,-1,3,0,0
65,1776572220.696,,-1,3,0,0
66,1776572230.857,1776572237.188,2,2,0,0
67,1776572240.887,,-1,3,0,0
68,1776572251.043,,-1,3,0,0
69,1776572260.833,1776572261.147,0,0,0,0
70,1776572270.771,,-1,3,0,0
71,1776572280.931,,-1,3,0,0
72,1776572290.718,,-1,3,0,0
73,1776572300.875,,-1,3,0,0
74,1776572311.035,,-1,3,0,0
75,1776572320.823,1776572327.154,2,2,0,0
76,1776572330.855,,-1,3,0,0
77,1776572341.014,,-1,3,0,0
78,1776572350.805,,-1,3,0,0
79,1776572360.956,,-1,3,0,0
80,1776572370.748,,-1,3,0,0
81,1776572380.906,,-1,3,0,0
82,1776572390.698,,-1,3,0,0
83,1776572400.852,,-1,3,0,0
84,1776572411.001,,-1,3,0,0
85,1776572420.795,,-1,3,0,0
