# Stage T vehicle capture from COM7
# Started: 2026-04-18 23:10:40
1776571840.764030 
1776571840.764039 ==============================================
1776571840.764042   RocketChip v0.16.0  RCOS v0.5.0  bench-16c53e6
1776571840.764043   Board: Adafruit Feather RP2350 HSTX
1776571840.764044   Profile: Rocket  Uptime: 359s
1776571848.447020 [STAGE_T] state TX->RXW t=367557498
1776571848.663084 [STAGE_T] state RXW->TX t=367757416
1776571848.663090 [STAGE_T] state RXW->TX t=367757805
1776571848.771132 [STAGE_T] state TX->RXW t=367857512
1776571848.878964 [STAGE_T] state RXW->TX t=367957414
1776571848.878971 [STAGE_T] state RXW->TX t=367957778
1776571848.986737 [STAGE_T] state TX->RXW t=368057481
1776571849.203545 [STAGE_T] state RXW->TX t=368257413
1776571849.203551 [STAGE_T] state RXW->TX t=368257812
1776571849.312053 [STAGE_T] state TX->RXW t=368358800
1776571849.420276 [STAGE_T] state RXW->TX t=368457410
1776571849.420280 [STAGE_T] state RXW->TX t=368457805
1776571849.528353 [STAGE_T] state TX->RXW t=368557509
1776571849.743429 [STAGE_T] state RXW->TX t=368757407
1776571849.743434 [STAGE_T] state RXW->TX t=368757800
1776571849.743436 [STAGE_T] state TX->RXW t=368857489
1776571849.851638 [STAGE_T] state RXW->TX t=368957404
1776571849.851643 [STAGE_T] state RXW->TX t=368957728
1776571849.959507 [STAGE_T] state TX->RXW t=369057515
1776571850.068070 [STAGE_T] state RXW->TX t=369157416
1776571850.068075 [STAGE_T] state RXW->TX t=369157803
1776571850.175977 [STAGE_T] state TX->RXW t=369257514
1776571850.283465 [STAGE_T] state RXW->TX t=369359473
1776571850.283471 [STAGE_T] state RXW->TX t=369359831
1776571850.391541 [STAGE_T] state TX->RXW t=369457497
1776571850.607472 [STAGE_T] state RXW->TX t=369657408
1776571850.607477 [STAGE_T] state RXW->TX t=369657814
1776571850.715535 [STAGE_T] state TX->RXW t=369757497
1776571850.931629 [STAGE_T] state RXW->TX t=369957399
1776571850.931634 [STAGE_T] state RXW->TX t=369957725
1776571851.040001 [STAGE_T] state TX->RXW t=370057510
1776571851.147273 [STAGE_T] state RXW->TX t=370157412
1776571851.147277 [STAGE_T] state RXW->TX t=370157785
1776571851.147279 [STAGE_T] state TX->RXW t=370257493
1776571851.255259 [STAGE_T] state RXW->TX t=370358440
1776571851.255263 [STAGE_T] state RXW->TX t=370358819
1776571851.363344 [STAGE_T] state TX->RXW t=370457489
1776571851.579588 [STAGE_T] state RXW->TX t=370657405
1776571851.579592 [STAGE_T] state RXW->TX t=370657837
1776571851.687876 [STAGE_T] state TX->RXW t=370757499
1776571851.796002 [STAGE_T] state RXW->TX t=370857406
1776571851.796007 [STAGE_T] state RXW->TX t=370857749
1776571851.904084 [STAGE_T] state TX->RXW t=370957518
1776571852.119317 [STAGE_T] state RXW->TX t=371157415
1776571852.119322 [STAGE_T] state RXW->TX t=371157795
1776571852.227505 [STAGE_T] state TX->RXW t=371257496
1776571852.335567 [STAGE_T] state RXW->TX t=371359890
1776571852.335572 [STAGE_T] state RXW->TX t=371360239
1776571852.443266 [STAGE_T] state TX->RXW t=371457500
1776571852.443272 [STAGE_T] state RXW->TX t=371557402
1776571852.443274 [STAGE_T] state RXW->TX t=371557824
1776571852.550803 [STAGE_T] state TX->RXW t=371657475
1776571852.659010 [STAGE_T] state RXW->TX t=371757408
1776571852.659015 [STAGE_T] state RXW->TX t=371757808
1776571852.766457 [STAGE_T] state TX->RXW t=371857492
1776571852.982938 [STAGE_T] state RXW->TX t=372057415
1776571852.982944 [STAGE_T] state RXW->TX t=372057757
1776571853.090428 [STAGE_T] state TX->RXW t=372157506
1776571853.198453 [STAGE_T] state RXW->TX t=372257419
1776571853.198459 [STAGE_T] state RXW->TX t=372257743
1776571853.305971 [STAGE_T] state TX->RXW t=372357492
1776571853.413474 [STAGE_T] state RXW->TX t=372457405
1776571853.413479 [STAGE_T] state RXW->TX t=372457810
1776571853.521501 [STAGE_T] state TX->RXW t=372557493
1776571853.629530 [STAGE_T] state RXW->TX t=372657407
1776571853.629539 [STAGE_T] state RXW->TX t=372657842
1776571853.737203 [STAGE_T] state TX->RXW t=372757522
1776571853.845717 [STAGE_T] state RXW->TX t=372857453
1776571853.845723 [STAGE_T] state RXW->TX t=372857850
1776571853.845724 [STAGE_T] state TX->RXW t=372957500
1776571853.954046 [STAGE_T] state RXW->TX t=373057412
1776571853.954051 [STAGE_T] state RXW->TX t=373057855
1776571854.062462 [STAGE_T] state TX->RXW t=373157506
1776571854.169279 [STAGE_T] state RXW->TX t=373257409
1776571854.169283 [STAGE_T] state RXW->TX t=373257776
1776571854.276662 [STAGE_T] state TX->RXW t=373357512
1776571854.384770 [STAGE_T] state RXW->TX t=373457409
1776571854.384775 [STAGE_T] state RXW->TX t=373457857
1776571854.492894 [STAGE_T] state TX->RXW t=373557584
1776571854.601618 [STAGE_T] state RXW->TX t=373657404
1776571854.601623 [STAGE_T] state RXW->TX t=373657759
1776571854.709489 [STAGE_T] state TX->RXW t=373757497
1776571854.817431 [STAGE_T] state RXW->TX t=373857412
1776571854.817436 [STAGE_T] state RXW->TX t=373857794
1776571854.925140 [STAGE_T] state TX->RXW t=373957539
1776571855.033297 [STAGE_T] state RXW->TX t=374057425
1776571855.033302 [STAGE_T] state RXW->TX t=374057783
1776571855.141357 [STAGE_T] state TX->RXW t=374157497
1776571855.249454 [STAGE_T] state RXW->TX t=374257411
1776571855.249459 [STAGE_T] state RXW->TX t=374257787
1776571855.249461 [STAGE_T] state TX->RXW t=374357491
1776571855.357893 [STAGE_T] state RXW->TX t=374457399
1776571855.357898 [STAGE_T] state RXW->TX t=374457723
1776571855.465702 [STAGE_T] state TX->RXW t=374557491
1776571855.681432 [STAGE_T] state RXW->TX t=374757531
1776571855.681438 [STAGE_T] state RXW->TX t=374757930
1776571855.789112 [STAGE_T] state TX->RXW t=374857502
1776571856.005225 [STAGE_T] state RXW->TX t=375057419
1776571856.005230 [STAGE_T] state RXW->TX t=375057757
1776571856.112741 [STAGE_T] state TX->RXW t=375157499
1776571856.220320 [STAGE_T] state RXW->TX t=375257408
1776571856.220325 [STAGE_T] state RXW->TX t=375257736
1776571856.328359 [STAGE_T] state TX->RXW t=375357495
1776571856.436350 [STAGE_T] state RXW->TX t=375457402
1776571856.436355 [STAGE_T] state RXW->TX t=375457804
1776571856.544388 [STAGE_T] state TX->RXW t=375557521
1776571856.652948 [STAGE_T] state RXW->TX t=375757429
1776571856.652956 [STAGE_T] state RXW->TX t=375757783
1776571856.760514 [STAGE_T] state TX->RXW t=375857487
1776571856.868767 [STAGE_T] state RXW->TX t=375957413
1776571856.868772 [STAGE_T] state RXW->TX t=375957879
1776571856.976666 [STAGE_T] state TX->RXW t=376057497
1776571857.191782 [STAGE_T] state RXW->TX t=376257423
1776571857.191786 [STAGE_T] state RXW->TX t=376257753
1776571857.300412 [STAGE_T] state TX->RXW t=376357494
1776571857.408098 [STAGE_T] state RXW->TX t=376457406
1776571857.408103 [STAGE_T] state RXW->TX t=376457789
1776571857.516273 [STAGE_T] state TX->RXW t=376557487
1776571857.732348 [STAGE_T] state RXW->TX t=376757416
1776571857.732353 [STAGE_T] state RXW->TX t=376757905
1776571857.840702 [STAGE_T] state TX->RXW t=376857496
1776571857.949272 [STAGE_T] state RXW->TX t=377057418
1776571857.949277 [STAGE_T] state RXW->TX t=377057815
1776571858.057190 [STAGE_T] state TX->RXW t=377157527
1776571858.165910 [STAGE_T] state RXW->TX t=377257406
1776571858.165915 [STAGE_T] state RXW->TX t=377257753
1776571858.274018 [STAGE_T] state TX->RXW t=377357513
1776571858.382532 [STAGE_T] state RXW->TX t=377458205
1776571858.382538 [STAGE_T] state RXW->TX t=377458583
1776571858.490984 [STAGE_T] state TX->RXW t=377557491
1776571858.707394 [STAGE_T] state RXW->TX t=377757417
1776571858.707398 [STAGE_T] state RXW->TX t=377757769
1776571858.815274 [STAGE_T] state TX->RXW t=377857497
1776571858.923014 [STAGE_T] state RXW->TX t=377957408
1776571858.923019 [STAGE_T] state RXW->TX t=377957786
1776571859.030860 [STAGE_T] state TX->RXW t=378057498
1776571859.139138 [STAGE_T] state RXW->TX t=378157406
1776571859.139143 [STAGE_T] state RXW->TX t=378157738
1776571859.247667 [STAGE_T] state TX->RXW t=378257493
1776571859.247672 [STAGE_T] state RXW->TX t=378357409
1776571859.247673 [STAGE_T] state RXW->TX t=378357749
1776571859.355472 [STAGE_T] state TX->RXW t=378458870
1776571859.463425 [STAGE_T] state RXW->TX t=378557404
1776571859.463429 [STAGE_T] state RXW->TX t=378557825
1776571859.570961 [STAGE_T] state TX->RXW t=378657496
1776571859.679285 [STAGE_T] state RXW->TX t=378757414
1776571859.679289 [STAGE_T] state RXW->TX t=378757787
1776571859.786713 [STAGE_T] state TX->RXW t=378857507
1776571859.894891 [STAGE_T] state RXW->TX t=378957416
1776571859.894896 [STAGE_T] state RXW->TX t=378957777
1776571860.002427 [STAGE_T] state TX->RXW t=379057505
1776571860.110338 [STAGE_T] state RXW->TX t=379157411
