seq,sent_host_t,ack_host_t,ack_retry_slot,retry_count,denied,failed
101,1776569461.821,1776569475.276,1,1,0,0
102,1776569472.017,,-1,3,0,0
103,1776569481.935,,-1,3,0,0
104,1776569492.090,,-1,3,0,0
105,1776569501.878,1776569512.335,0,0,0,0
106,1776569512.023,,-1,3,0,0
107,1776569521.954,,-1,3,0,0
108,1776569532.099,,-1,3,0,0
109,1776569541.888,1776569561.317,3,3,0,0
110,1776569552.036,,-1,3,0,0
111,1776569562.053,1776569578.291,2,2,0,0
112,1776569571.952,,-1,3,0,0
113,1776569581.987,,-1,3,0,0
114,1776569592.146,,-1,3,0,0
115,1776569602.054,1776569618.289,2,2,0,0
116,1776569611.954,1776569622.195,0,0,0,0
117,1776569621.989,,-1,3,0,0
118,1776569632.189,,-1,3,0,0
119,1776569642.090,,-1,3,0,0
120,1776569651.878,1776569671.311,3,3,0,0
121,1776569662.030,,-1,3,0,0
122,1776569672.047,,-1,3,0,0
123,1776569681.828,1776569701.274,3,3,0,0
124,1776569691.990,,-1,3,0,0
125,1776569702.010,,-1,3,0,0
126,1776569712.151,1776569728.255,2,2,0,0
127,1776569721.927,1776569741.223,3,3,0,0
128,1776569731.952,,-1,3,0,0
