seq,sent_host_t,ack_host_t,ack_retry_slot,retry_count,denied,failed
0,1776571532.940,,-1,3,0,0
1,1776571543.142,1776571553.509,0,0,0,0
2,1776571553.303,,-1,3,0,0
3,1776571563.128,,-1,3,0,0
4,1776571573.293,,-1,3,0,0
5,1776571583.070,,-1,3,0,0
6,1776571593.226,,-1,3,0,0
7,1776571603.012,,-1,3,0,0
8,1776571613.168,1776571632.237,3,3,0,0
9,1776571622.959,1776571642.257,3,3,0,0
10,1776571632.973,,-1,3,0,0
11,1776571642.991,,-1,3,0,0
12,1776571653.145,1776571666.561,1,1,0,0
13,1776571663.299,,-1,3,0,0
14,1776571673.222,,-1,3,0,0
15,1776571683.006,,-1,3,0,0
16,1776571693.163,,-1,3,0,0
17,1776571702.947,,-1,3,0,0
18,1776571713.103,,-1,3,0,0
19,1776571723.269,1776571736.325,1,1,0,0
20,1776571733.056,1776571752.278,3,3,0,0
21,1776571742.985,,-1,3,0,0
22,1776571753.015,,-1,3,0,0
23,1776571763.171,1776571779.285,2,2,0,0
24,1776571772.953,1776571789.198,2,2,0,0
25,1776571782.982,,-1,3,0,0
26,1776571793.269,1776571812.345,3,3,0,0
27,1776571803.059,,-1,3,0,0
